"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000158246",269.971148444067,-1.11833899290208,0.262729605192748,1.65715440773638e-06,4.24712637724694e-05,"TENT5B","terminal nucleotidyltransferase 5B"
"ENSG00000221867",27.7426325921805,-2.29932474061408,0.554926347888583,1.72733452665287e-06,4.39157530056226e-05,"MAGEA3","MAGE family member A3"
"ENSG00000221867",27.7426325921805,-2.29932474061408,0.554926347888583,1.72733452665287e-06,4.39157530056226e-05,"MAGEA6","MAGE family member A6"
"ENSG00000198681",35.6709600825164,1.91310499223,0.467907301197785,2.4264323623491e-06,6.12000162503608e-05,"MAGEA1","MAGE family member A1"
"ENSG00000163961",966.347474910513,0.602955846078622,0.138492917506018,2.82718084845272e-06,7.07463050108879e-05,"RNF168","ring finger protein 168"
"ENSG00000183020",763.939435847189,-0.874177172307604,0.208262460893472,2.93994753321186e-06,7.29933848480257e-05,"AP2A2","adaptor related protein complex 2 subunit alpha 2"
"ENSG00000125945",501.23237948698,-0.752399413009806,0.176966862864841,2.98595273420769e-06,7.35609130954421e-05,"ZNF436","zinc finger protein 436"
"ENSG00000198899",41700.4577709059,0.61506730278737,0.141681496454824,3.00929795596717e-06,7.35657608004896e-05,"MT-ATP6","ATP synthase F0 subunit 6"
"ENSG00000162040",20.3875327461275,-2.97313883984136,0.737859189933388,3.07265588533588e-06,7.45412244549421e-05,"HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6"
"ENSG00000139194",37.8999975526886,1.95690748356349,0.48867078464553,3.11228962522362e-06,7.49307305224294e-05,"RBP5","retinol binding protein 5"
"ENSG00000130772",293.083844565847,-0.794465706540012,0.188510635500103,3.22969723190235e-06,7.71727654359824e-05,"MED18","mediator complex subunit 18"
"ENSG00000144063",6150.53662683037,0.464254005294156,0.104981471374918,3.2692196506126e-06,7.75341794749763e-05,"MALL","mal, T cell differentiation protein like"
"ENSG00000144063",6150.53662683037,0.464254005294156,0.104981471374918,3.2692196506126e-06,7.75341794749763e-05,"LOC128966597","MAL-like protein"
"ENSG00000157184",333.783687789478,-0.808026226451256,0.192609117260269,3.40915857867979e-06,8.00559179839688e-05,"CPT2","carnitine palmitoyltransferase 2"
"ENSG00000179041",1697.97137481983,0.526435023402315,0.120630792673948,3.42592978156695e-06,8.00559179839688e-05,"RRS1","regulator of ribosome synthesis 1"
"ENSG00000196639",285.282687619925,-0.792501054552565,0.188975519630158,3.5159879962078e-06,8.15606558536379e-05,"HRH1","histamine receptor H1"
